"Population by Mother tongue","Number"
"Angika",""
"Female","4660"
"Male","4419"
"Bangla",""
"Female","22"
"Male","21"
"Bhojpuri",""
"Female","23"
"Male","17"
"Bhujel",""
"Female","371"
"Male","322"
"Ganagai",""
"Female","69"
"Male","57"
"Gurung",""
"Female","10"
"Male","14"
"Hariyanwi",""
"Female","98"
"Male","96"
"Hindi",""
"Female","53"
"Male","47"
"Magahi",""
"Female","113"
"Male","112"
"Maithili",""
"Female","10427"
"Male","10573"
"Nepali",""
"Female","753"
"Male","680"
"Newar",""
"Female","14"
"Male","14"
"Not Reported",""
"Female","64"
"Male","53"
"Others",""
"Female","84"
"Male","69"
"Rajbanshi",""
"Female","1196"
"Male","1133"
"Santhali",""
"Female","599"
"Male","581"
"Sunuwar",""
"Female","13"
"Male","11"
"Tharu",""
"Female","64"
"Male","51"
"Urdu",""
"Female","1302"
"Male","1189"
