"Population by Educational Attainment","Number"
"Beginners",""
"Female","200"
"Male","258"
"Graduate and Equivalent",""
"Female","39"
"Male","195"
"Intermediate and Equivalent",""
"Female","248"
"Male","494"
"Level not Stated",""
"Female","37"
"Male","40"
"Lower Secondary (Class 6-8)",""
"Female","1895"
"Male","2384"
"Non Formal Education",""
"Female","369"
"Male","369"
"Others",""
"Female","1"
"Male","1"
"Post Graduate Equivalent and Above",""
"Female","6"
"Male","29"
"Primary Education (1-5 Class)",""
"Female","3395"
"Male","4106"
"Secondary Level (Class 9-10)",""
"Female","1648"
"Male","1755"
"SLC and Equivalent",""
"Female","1368"
"Male","1527"
