"Population by Mother tongue","Number"
"Bangla",""
"Female","12"
"Male","15"
"","27"
"Bhojpuri",""
"Female","74"
"Male","76"
"","150"
"Bhujel",""
"Female","371"
"Male","340"
"","711"
"Hindi",""
"Female","15"
"Male","26"
"","41"
"Kulung",""
"Female","11"
"Male","10"
"","21"
"Limbu",""
"Female","25"
"Male","14"
"","39"
"Magar",""
"Female","77"
"Male","72"
"","149"
"Maithili",""
"Female","2021"
"Male","2104"
"","4125"
"Nepali",""
"Female","3801"
"Male","3345"
"","7146"
"Newar",""
"Female","67"
"Male","59"
"","126"
"Not Reported",""
"Female","77"
"Male","78"
"","155"
"Others",""
"Female","54"
"Male","49"
"","103"
"Rai",""
"Female","49"
"Male","37"
"","86"
"Rajbanshi",""
"Female","389"
"Male","401"
"","790"
"Rajsthani",""
"Female","28"
"Male","30"
"","58"
"Santhali",""
"Female","14"
"Male","14"
"","28"
"Sunuwar",""
"Female","10"
"Male","7"
"","17"
"Tamang",""
"Female","114"
"Male","88"
"","202"
"Tharu",""
"Female","9534"
"Male","8627"
"","18161"
"Uranw/Urau",""
"Female","190"
"Male","174"
"","364"
"Urdu",""
"Female","99"
"Male","119"
"","218"
