"Population by Five Years Age Group","Number"
"0-4",""
"Female","2413"
"Male","2442"
"10-14",""
"Female","2736"
"Male","2745"
"15-19",""
"Female","1999"
"Male","2343"
"20-24",""
"Female","1666"
"Male","1510"
"25-29",""
"Female","1783"
"Male","1711"
"30-34",""
"Female","1433"
"Male","1363"
"35-39",""
"Female","1342"
"Male","1406"
"40-44",""
"Female","1059"
"Male","1080"
"45-49",""
"Female","917"
"Male","1009"
"50-54",""
"Female","680"
"Male","752"
"55-59",""
"Female","646"
"Male","647"
"5-9",""
"Female","2707"
"Male","2771"
"60-64",""
"Female","565"
"Male","502"
"65-69",""
"Female","383"
"Male","448"
"70-74",""
"Female","203"
"Male","236"
"75+",""
"Female","169"
"Male","153"
