"Population by Educational Attainment","Number"
"Beginners",""
"Female","306"
"Male","386"
"","692"
"Graduate and Equivalent",""
"Female","17"
"Male","94"
"","111"
"Intermediate and Equivalent",""
"Female","85"
"Male","297"
"","382"
"Level not Stated",""
"Female","23"
"Male","37"
"","60"
"Lower Secondary (Class 6-8)",""
"Female","1676"
"Male","2705"
"","4381"
"Non Formal Education",""
"Female","107"
"Male","145"
"","252"
"Others",""
"Female","3"
"Male","2"
"","5"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","14"
"","15"
"Primary Education (1-5 Class)",""
"Female","4614"
"Male","5955"
"","10569"
"Secondary Level (Class 9-10)",""
"Female","558"
"Male","1262"
"","1820"
"SLC and Equivalent",""
"Female","486"
"Male","1070"
"","1556"
