"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","8"
"Male","6"
"Bahing",""
"Female","16"
"Male","8"
"Bangali",""
"Female","20"
"Male","16"
"Bantaba",""
"Female","22"
"Male","20"
"Bantar/Sardar",""
"Female","45"
"Male","48"
"Bin",""
"Female","20"
"Male","9"
"Brahman - Hill",""
"Female","3046"
"Male","2574"
"Chhetri",""
"Female","4352"
"Male","3630"
"Damai/Dholi",""
"Female","466"
"Male","410"
"Danuwar",""
"Female","38"
"Male","37"
"Dhanuk",""
"Female","14"
"Male","24"
"Dhimal",""
"Female","936"
"Male","723"
"Gharti/Bhujel",""
"Female","153"
"Male","131"
"Gurung",""
"Female","444"
"Male","384"
"Hajam/Thakur",""
"Female","30"
"Male","40"
"Halwai",""
"Female","46"
"Male","55"
"Jhangad/ Dhagar",""
"Female","161"
"Male","136"
"Kalwar",""
"Female","12"
"Male","6"
"Kami",""
"Female","583"
"Male","475"
"Kathabaniyan",""
"Female","20"
"Male","26"
"Kayastha",""
"Female","8"
"Male","10"
"Kewat",""
"Female","30"
"Male","31"
"Kulung",""
"Female","22"
"Male","17"
"Limbu",""
"Female","1436"
"Male","1140"
"Magar",""
"Female","482"
"Male","389"
"Majhi",""
"Female","545"
"Male","489"
"Mallaha",""
"Female","31"
"Male","29"
"Marwadi",""
"Female","28"
"Male","20"
"Mewahang Bala",""
"Female","14"
"Male","6"
"Munda",""
"Female","57"
"Male","48"
"Musahar",""
"Female","547"
"Male","514"
"Musalman",""
"Female","89"
"Male","85"
"Newar",""
"Female","439"
"Male","377"
"Others",""
"Female","53"
"Male","40"
"Rai",""
"Female","1516"
"Male","1266"
"Rajbansi",""
"Female","740"
"Male","630"
"Rajput",""
"Female","12"
"Male","7"
"Sanyasi/Dasnami",""
"Female","356"
"Male","315"
"Sarki",""
"Female","233"
"Male","178"
"Satar/ Santhal",""
"Female","791"
"Male","778"
"Sherpa",""
"Female","38"
"Male","44"
"Sonar",""
"Female","31"
"Male","25"
"Sudhi",""
"Female","4"
"Male","8"
"Sunuwar",""
"Female","14"
"Male","19"
"Tamang",""
"Female","760"
"Male","613"
"Teli",""
"Female","146"
"Male","149"
"Terai Others",""
"Female","21"
"Male","19"
"Thakuri",""
"Female","15"
"Male","12"
"Thami",""
"Female","19"
"Male","17"
"Tharu",""
"Female","1430"
"Male","1268"
"Undefined Others",""
"Female","51"
"Male","47"
"Yadav",""
"Female","77"
"Male","87"
"Yakkha",""
"Female","79"
"Male","52"
