"Population by Five Years Age Group","Number"
"0-4",""
"Female","1567"
"Male","1625"
"10-14",""
"Female","2323"
"Male","2285"
"15-19",""
"Female","2125"
"Male","1999"
"20-24",""
"Female","1921"
"Male","1139"
"25-29",""
"Female","1839"
"Male","984"
"30-34",""
"Female","1494"
"Male","1006"
"35-39",""
"Female","1321"
"Male","943"
"40-44",""
"Female","1207"
"Male","940"
"45-49",""
"Female","1028"
"Male","864"
"50-54",""
"Female","987"
"Male","867"
"55-59",""
"Female","766"
"Male","786"
"5-9",""
"Female","1925"
"Male","2075"
"60-64",""
"Female","734"
"Male","683"
"65-69",""
"Female","502"
"Male","551"
"70-74",""
"Female","335"
"Male","335"
"75+",""
"Female","472"
"Male","413"
