"Population by disability type","Number"
"Blind/low vision",""
"Female","48"
"Male","43"
"","91"
"Deaf/hard of hearing",""
"Female","21"
"Male","27"
"","48"
"Deaf-Blind",""
"Female","1"
"Male","4"
"","5"
"Intellectual disable",""
"Female","7"
"Male","10"
"","17"
"Mental disable",""
"Female","24"
"Male","35"
"","59"
"Multiple disable",""
"Female","22"
"Male","23"
"","45"
"No disability",""
"Female","19343"
"Male","19896"
"","39239"
"Physical",""
"Female","77"
"Male","123"
"","200"
"Speech problem",""
"Female","33"
"Male","38"
"","71"
