"Population by Educational Attainment","Number"
"Beginners",""
"Female","303"
"Male","382"
"","685"
"Graduate and Equivalent",""
"Female","32"
"Male","156"
"","188"
"Intermediate and Equivalent",""
"Female","227"
"Male","479"
"","706"
"Level not Stated",""
"Female","28"
"Male","35"
"","63"
"Lower Secondary (Class 6-8)",""
"Female","1931"
"Male","2865"
"","4796"
"Non Formal Education",""
"Female","436"
"Male","487"
"","923"
"Others",""
"Female","0"
"Male","1"
"","1"
"Post Graduate Equivalent and Above",""
"Female","2"
"Male","23"
"","25"
"Primary Education (1-5 Class)",""
"Female","4456"
"Male","5723"
"","10179"
"Secondary Level (Class 9-10)",""
"Female","881"
"Male","1471"
"","2352"
"SLC and Equivalent",""
"Female","758"
"Male","1273"
"","2031"
