"Population by disability type","Number"
"Blind/low vision",""
"Female","51"
"Male","59"
"","110"
"Deaf/hard of hearing",""
"Female","101"
"Male","108"
"","209"
"Deaf-Blind",""
"Female","5"
"Male","10"
"","15"
"Intellectual disable",""
"Female","9"
"Male","12"
"","21"
"Mental disable",""
"Female","29"
"Male","27"
"","56"
"Multiple disable",""
"Female","62"
"Male","69"
"","131"
"No disability",""
"Female","16176"
"Male","13303"
"","29479"
"Physical",""
"Female","110"
"Male","162"
"","272"
"Speech problem",""
"Female","77"
"Male","61"
"","138"
