"Population by Five Years Age Group","Number"
"0-4",""
"Female","1302"
"Male","1347"
"10-14",""
"Female","1750"
"Male","1786"
"15-19",""
"Female","1729"
"Male","1614"
"20-24",""
"Female","1585"
"Male","892"
"25-29",""
"Female","1400"
"Male","734"
"30-34",""
"Female","1122"
"Male","763"
"35-39",""
"Female","916"
"Male","651"
"40-44",""
"Female","890"
"Male","671"
"45-49",""
"Female","760"
"Male","617"
"50-54",""
"Female","692"
"Male","659"
"55-59",""
"Female","493"
"Male","521"
"5-9",""
"Female","1606"
"Male","1636"
"60-64",""
"Female","454"
"Male","435"
"65-69",""
"Female","335"
"Male","298"
"70-74",""
"Female","231"
"Male","238"
"75+",""
"Female","285"
"Male","297"
