"Population by Mother tongue","Number"
"Bangla",""
"Female","7"
"Male","7"
"","14"
"Bantawa",""
"Female","1376"
"Male","1272"
"","2648"
"Bhojpuri",""
"Female","5"
"Male","11"
"","16"
"Chamling",""
"Female","531"
"Male","510"
"","1041"
"Dumi",""
"Female","10"
"Male","5"
"","15"
"Gurung",""
"Female","27"
"Male","31"
"","58"
"Hindi",""
"Female","18"
"Male","30"
"","48"
"Kulung",""
"Female","23"
"Male","25"
"","48"
"Limbu",""
"Female","1273"
"Male","1130"
"","2403"
"Magar",""
"Female","926"
"Male","693"
"","1619"
"Maithili",""
"Female","109"
"Male","114"
"","223"
"Majhi",""
"Female","13"
"Male","9"
"","22"
"Nepali",""
"Female","8517"
"Male","7001"
"","15518"
"Newar",""
"Female","280"
"Male","261"
"","541"
"Not Reported",""
"Female","38"
"Male","27"
"","65"
"Others",""
"Female","74"
"Male","51"
"","125"
"Rai",""
"Female","1315"
"Male","1152"
"","2467"
"Sampang",""
"Female","13"
"Male","8"
"","21"
"Sunuwar",""
"Female","24"
"Male","28"
"","52"
"Tamang",""
"Female","936"
"Male","762"
"","1698"
"Tharu",""
"Female","14"
"Male","17"
"","31"
"Thulung",""
"Female","21"
"Male","14"
"","35"
