"Population by Caste Ethinicity","Number"
"Badi",""
"Female","5"
"Male","10"
"","15"
"Bangali",""
"Female","36"
"Male","48"
"","84"
"Bantaba",""
"Female","23"
"Male","25"
"","48"
"Bin",""
"Female","9"
"Male","5"
"","14"
"Brahman - Hill",""
"Female","5125"
"Male","4248"
"","9373"
"Chamar/ Harijan/ Ram",""
"Female","53"
"Male","48"
"","101"
"Chamling",""
"Female","22"
"Male","16"
"","38"
"Chhetri",""
"Female","6614"
"Male","5473"
"","12087"
"Damai/Dholi",""
"Female","977"
"Male","865"
"","1842"
"Danuwar",""
"Female","19"
"Male","18"
"","37"
"Dhanuk",""
"Female","200"
"Male","165"
"","365"
"Dhimal",""
"Female","1069"
"Male","808"
"","1877"
"Dhobi",""
"Female","18"
"Male","8"
"","26"
"Dom",""
"Female","12"
"Male","6"
"","18"
"Dusadh/ Pasawan/ Pasi",""
"Female","68"
"Male","55"
"","123"
"Gangai",""
"Female","7"
"Male","8"
"","15"
"Gharti/Bhujel",""
"Female","198"
"Male","175"
"","373"
"Gurung",""
"Female","740"
"Male","580"
"","1320"
"Hajam/Thakur",""
"Female","42"
"Male","42"
"","84"
"Halwai",""
"Female","151"
"Male","152"
"","303"
"Jhangad/ Dhagar",""
"Female","96"
"Male","93"
"","189"
"Kalwar",""
"Female","26"
"Male","24"
"","50"
"Kami",""
"Female","1516"
"Male","1264"
"","2780"
"Kathabaniyan",""
"Female","26"
"Male","34"
"","60"
"Kayastha",""
"Female","8"
"Male","3"
"","11"
"Kewat",""
"Female","15"
"Male","7"
"","22"
"Khatwe",""
"Female","23"
"Male","21"
"","44"
"Khawas",""
"Female","12"
"Male","13"
"","25"
"Koiri/Kushwaha",""
"Female","66"
"Male","62"
"","128"
"Kulung",""
"Female","7"
"Male","7"
"","14"
"Kumal",""
"Female","26"
"Male","18"
"","44"
"Limbu",""
"Female","4601"
"Male","3800"
"","8401"
"Lohar",""
"Female","16"
"Male","17"
"","33"
"Magar",""
"Female","1602"
"Male","1358"
"","2960"
"Majhi",""
"Female","513"
"Male","455"
"","968"
"Mallaha",""
"Female","16"
"Male","15"
"","31"
"Marwadi",""
"Female","19"
"Male","27"
"","46"
"Musahar",""
"Female","202"
"Male","215"
"","417"
"Musalman",""
"Female","85"
"Male","96"
"","181"
"Newar",""
"Female","966"
"Male","861"
"","1827"
"Nuniya",""
"Female","29"
"Male","36"
"","65"
"Others",""
"Female","63"
"Male","40"
"","103"
"Punjabi/Sikh",""
"Female","6"
"Male","9"
"","15"
"Rai",""
"Female","4231"
"Male","3359"
"","7590"
"Rajbansi",""
"Female","202"
"Male","177"
"","379"
"Rajput",""
"Female","15"
"Male","15"
"","30"
"Sanyasi/Dasnami",""
"Female","296"
"Male","221"
"","517"
"Sarki",""
"Female","204"
"Male","169"
"","373"
"Satar/ Santhal",""
"Female","176"
"Male","157"
"","333"
"Sherpa",""
"Female","29"
"Male","35"
"","64"
"Sunuwar",""
"Female","55"
"Male","55"
"","110"
"Tajpuriya",""
"Female","8"
"Male","7"
"","15"
"Tamang",""
"Female","1632"
"Male","1337"
"","2969"
"Tatma/Tatwa",""
"Female","5"
"Male","8"
"","13"
"Teli",""
"Female","84"
"Male","90"
"","174"
"Terai Others",""
"Female","98"
"Male","96"
"","194"
"Thakuri",""
"Female","68"
"Male","38"
"","106"
"Thami",""
"Female","10"
"Male","11"
"","21"
"Tharu",""
"Female","713"
"Male","575"
"","1288"
"Thulung",""
"Female","10"
"Male","6"
"","16"
"Undefined Others",""
"Female","137"
"Male","108"
"","245"
"Yadav",""
"Female","21"
"Male","19"
"","40"
"Yakkha",""
"Female","55"
"Male","43"
"","98"
