"Population by Educational Attainment","Number"
"Beginners",""
"Female","367"
"Male","383"
"Graduate and Equivalent",""
"Female","78"
"Male","264"
"Intermediate and Equivalent",""
"Female","425"
"Male","695"
"Level not Stated",""
"Female","42"
"Male","49"
"Lower Secondary (Class 6-8)",""
"Female","3156"
"Male","3608"
"Non Formal Education",""
"Female","257"
"Male","382"
"Others",""
"Female","0"
"Male","1"
"Post Graduate Equivalent and Above",""
"Female","19"
"Male","67"
"Primary Education (1-5 Class)",""
"Female","5871"
"Male","6922"
"Secondary Level (Class 9-10)",""
"Female","1692"
"Male","2202"
"SLC and Equivalent",""
"Female","1556"
"Male","2004"
