"Population by Educational Attainment","Number"
"Beginners",""
"Female","135"
"Male","142"
"Graduate and Equivalent",""
"Female","28"
"Male","55"
"Intermediate and Equivalent",""
"Female","184"
"Male","176"
"Level not Stated",""
"Female","13"
"Male","16"
"Lower Secondary (Class 6-8)",""
"Female","826"
"Male","972"
"Non Formal Education",""
"Female","417"
"Male","470"
"Others",""
"Female","2"
"Male","5"
"Post Graduate Equivalent and Above",""
"Female","2"
"Male","27"
"Primary Education (1-5 Class)",""
"Female","1727"
"Male","2070"
"Secondary Level (Class 9-10)",""
"Female","343"
"Male","433"
"SLC and Equivalent",""
"Female","308"
"Male","331"
