"Population by Five Years Age Group","Number"
"0-4",""
"Female","780"
"Male","793"
"10-14",""
"Female","1113"
"Male","1123"
"15-19",""
"Female","1037"
"Male","903"
"20-24",""
"Female","752"
"Male","479"
"25-29",""
"Female","601"
"Male","399"
"30-34",""
"Female","478"
"Male","381"
"35-39",""
"Female","456"
"Male","367"
"40-44",""
"Female","493"
"Male","398"
"45-49",""
"Female","417"
"Male","376"
"50-54",""
"Female","407"
"Male","323"
"55-59",""
"Female","274"
"Male","269"
"5-9",""
"Female","968"
"Male","917"
"60-64",""
"Female","284"
"Male","248"
"65-69",""
"Female","214"
"Male","206"
"70-74",""
"Female","194"
"Male","169"
"75+",""
"Female","247"
"Male","208"
