"Population by Five Years Age Group","Number"
"0-4",""
"Female","1110"
"Male","1076"
"10-14",""
"Female","1805"
"Male","1721"
"15-19",""
"Female","1535"
"Male","1442"
"20-24",""
"Female","1172"
"Male","691"
"25-29",""
"Female","999"
"Male","573"
"30-34",""
"Female","813"
"Male","504"
"35-39",""
"Female","776"
"Male","501"
"40-44",""
"Female","789"
"Male","566"
"45-49",""
"Female","655"
"Male","533"
"50-54",""
"Female","619"
"Male","564"
"55-59",""
"Female","426"
"Male","435"
"5-9",""
"Female","1437"
"Male","1460"
"60-64",""
"Female","398"
"Male","428"
"65-69",""
"Female","301"
"Male","334"
"70-74",""
"Female","217"
"Male","235"
"75+",""
"Female","261"
"Male","280"
