"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","1254"
"Male","1083"
"","2337"
"Chhetri",""
"Female","265"
"Male","212"
"","477"
"Dalit Others",""
"Female","24"
"Male","19"
"","43"
"Damai/Dholi",""
"Female","288"
"Male","248"
"","536"
"Gurung",""
"Female","12"
"Male","11"
"","23"
"Kami",""
"Female","294"
"Male","271"
"","565"
"Limbu",""
"Female","8292"
"Male","7184"
"","15476"
"Magar",""
"Female","53"
"Male","37"
"","90"
"Newar",""
"Female","209"
"Male","153"
"","362"
"Others",""
"Female","24"
"Male","27"
"","51"
"Rai",""
"Female","490"
"Male","439"
"","929"
"Sarki",""
"Female","28"
"Male","30"
"","58"
"Sherpa",""
"Female","8"
"Male","9"
"","17"
"Sunuwar",""
"Female","55"
"Male","61"
"","116"
"Tamang",""
"Female","1631"
"Male","1297"
"","2928"
"Terai Others",""
"Female","2"
"Male","12"
"","14"
"Undefined Others",""
"Female","23"
"Male","15"
"","38"
