"Population by disability type","Number"
"Blind/low vision",""
"Female","55"
"Male","52"
"","107"
"Deaf/hard of hearing",""
"Female","39"
"Male","41"
"","80"
"Deaf-Blind",""
"Female","4"
"Male","3"
"","7"
"Intellectual disable",""
"Female","3"
"Male","6"
"","9"
"Mental disable",""
"Female","12"
"Male","12"
"","24"
"Multiple disable",""
"Female","35"
"Male","28"
"","63"
"No disability",""
"Female","12648"
"Male","10780"
"","23428"
"Physical",""
"Female","114"
"Male","157"
"","271"
"Speech problem",""
"Female","42"
"Male","29"
"","71"
