"Population by disability type","Number"
"Blind/low vision",""
"Female","22"
"Male","21"
"","43"
"Deaf/hard of hearing",""
"Female","24"
"Male","32"
"","56"
"Deaf-Blind",""
"Female","2"
"Male","3"
"","5"
"Intellectual disable",""
"Female","7"
"Male","9"
"","16"
"Mental disable",""
"Female","8"
"Male","11"
"","19"
"Multiple disable",""
"Female","35"
"Male","15"
"","50"
"No disability",""
"Female","6982"
"Male","6102"
"","13084"
"Physical",""
"Female","47"
"Male","54"
"","101"
"Speech problem",""
"Female","27"
"Male","18"
"","45"
