"Population by Educational Attainment","Number"
"Beginners",""
"Female","204"
"Male","268"
"Graduate and Equivalent",""
"Female","46"
"Male","88"
"Intermediate and Equivalent",""
"Female","261"
"Male","233"
"Level not Stated",""
"Female","6"
"Male","14"
"Lower Secondary (Class 6-8)",""
"Female","1444"
"Male","1448"
"Non Formal Education",""
"Female","146"
"Male","196"
"Others",""
"Female","1"
"Male","2"
"Post Graduate Equivalent and Above",""
"Female","7"
"Male","21"
"Primary Education (1-5 Class)",""
"Female","2459"
"Male","2771"
"Secondary Level (Class 9-10)",""
"Female","807"
"Male","846"
"SLC and Equivalent",""
"Female","696"
"Male","660"
