"Population by Educational Attainment","Number"
"Beginners",""
"Female","1913"
"Male","2153"
"","4066"
"Graduate and Equivalent",""
"Female","486"
"Male","1101"
"","1587"
"Intermediate and Equivalent",""
"Female","2311"
"Male","2469"
"","4780"
"Level not Stated",""
"Female","107"
"Male","137"
"","244"
"Lower Secondary (Class 6-8)",""
"Female","15275"
"Male","14215"
"","29490"
"Non Formal Education",""
"Female","2638"
"Male","2958"
"","5596"
"Others",""
"Female","6"
"Male","12"
"","18"
"Post Graduate Equivalent and Above",""
"Female","60"
"Male","298"
"","358"
"Primary Education (1-5 Class)",""
"Female","24437"
"Male","27408"
"","51845"
"Secondary Level (Class 9-10)",""
"Female","8689"
"Male","8728"
"","17417"
"SLC and Equivalent",""
"Female","6831"
"Male","6338"
"","13169"
