"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","283"
"Male","252"
"","535"
"Chhetri",""
"Female","3781"
"Male","3356"
"","7137"
"Damai/Dholi",""
"Female","264"
"Male","203"
"","467"
"Gharti/Bhujel",""
"Female","42"
"Male","24"
"","66"
"Gurung",""
"Female","611"
"Male","509"
"","1120"
"Kami",""
"Female","347"
"Male","289"
"","636"
"Limbu",""
"Female","92"
"Male","72"
"","164"
"Magar",""
"Female","620"
"Male","540"
"","1160"
"Newar",""
"Female","413"
"Male","344"
"","757"
"Others",""
"Female","24"
"Male","30"
"","54"
"Rai",""
"Female","213"
"Male","169"
"","382"
"Sanyasi/Dasnami",""
"Female","48"
"Male","29"
"","77"
"Sarki",""
"Female","190"
"Male","137"
"","327"
"Sherpa",""
"Female","182"
"Male","153"
"","335"
"Sunuwar",""
"Female","15"
"Male","14"
"","29"
"Tamang",""
"Female","637"
"Male","537"
"","1174"
"Tharu",""
"Female","4"
"Male","10"
"","14"
"Undefined Others",""
"Female","12"
"Male","3"
"","15"
"Yakkha",""
"Female","2065"
"Male","1721"
"","3786"
