"Population by disability type","Number"
"Blind/low vision",""
"Female","41"
"Male","44"
"","85"
"Deaf/hard of hearing",""
"Female","33"
"Male","52"
"","85"
"Deaf-Blind",""
"Female","4"
"Male","4"
"","8"
"Intellectual disable",""
"Female","9"
"Male","6"
"","15"
"Mental disable",""
"Female","12"
"Male","19"
"","31"
"Multiple disable",""
"Female","24"
"Male","19"
"","43"
"No disability",""
"Female","9617"
"Male","8142"
"","17759"
"Physical",""
"Female","87"
"Male","83"
"","170"
"Speech problem",""
"Female","16"
"Male","23"
"","39"
