"Population by Five Years Age Group","Number"
"0-4",""
"Female","727"
"Male","741"
"10-14",""
"Female","921"
"Male","971"
"15-19",""
"Female","766"
"Male","771"
"20-24",""
"Female","556"
"Male","504"
"25-29",""
"Female","495"
"Male","439"
"30-34",""
"Female","405"
"Male","384"
"35-39",""
"Female","348"
"Male","343"
"40-44",""
"Female","330"
"Male","311"
"45-49",""
"Female","286"
"Male","285"
"50-54",""
"Female","300"
"Male","276"
"55-59",""
"Female","211"
"Male","214"
"5-9",""
"Female","924"
"Male","977"
"60-64",""
"Female","175"
"Male","206"
"65-69",""
"Female","121"
"Male","136"
"70-74",""
"Female","97"
"Male","116"
"75+",""
"Female","120"
"Male","116"
