"Population by Caste Ethinicity","Number"
"Bhote",""
"Female","22"
"Male","26"
"","48"
"Brahman - Hill",""
"Female","40"
"Male","39"
"","79"
"Chamling",""
"Female","9"
"Male","5"
"","14"
"Chhetri",""
"Female","412"
"Male","432"
"","844"
"Damai/Dholi",""
"Female","73"
"Male","58"
"","131"
"Gurung",""
"Female","617"
"Male","599"
"","1216"
"Kami",""
"Female","229"
"Male","218"
"","447"
"Khaling",""
"Female","11"
"Male","13"
"","24"
"Kulung",""
"Female","565"
"Male","559"
"","1124"
"Limbu",""
"Female","30"
"Male","21"
"","51"
"Magar",""
"Female","88"
"Male","92"
"","180"
"Mewahang Bala",""
"Female","264"
"Male","259"
"","523"
"Newar",""
"Female","3"
"Male","9"
"","12"
"Others",""
"Female","35"
"Male","35"
"","70"
"Rai",""
"Female","589"
"Male","602"
"","1191"
"Sherpa",""
"Female","1276"
"Male","1317"
"","2593"
"Tamang",""
"Female","724"
"Male","761"
"","1485"
"Topkegola",""
"Female","32"
"Male","37"
"","69"
"Undefined Others",""
"Female","11"
"Male","9"
"","20"
"Yamphu",""
"Female","1752"
"Male","1699"
"","3451"
