"Population by Mother tongue","Number"
"Chamling",""
"Female","71"
"Male","54"
"","125"
"Gurung",""
"Female","319"
"Male","334"
"","653"
"Khaling",""
"Female","139"
"Male","174"
"","313"
"Kulung",""
"Female","593"
"Male","584"
"","1177"
"Limbu",""
"Female","29"
"Male","21"
"","50"
"Magar",""
"Female","22"
"Male","1"
"","23"
"Maithili",""
"Female","10"
"Male","11"
"","21"
"Mewahang",""
"Female","240"
"Male","237"
"","477"
"Nachhiring",""
"Female","8"
"Male","10"
"","18"
"Nepali",""
"Female","1220"
"Male","1190"
"","2410"
"Not Reported",""
"Female","14"
"Male","13"
"","27"
"Others",""
"Female","34"
"Male","30"
"","64"
"Rai",""
"Female","155"
"Male","134"
"","289"
"Sherpa",""
"Female","1315"
"Male","1372"
"","2687"
"Tamang",""
"Female","707"
"Male","745"
"","1452"
"Yamphu/Yamphe",""
"Female","1906"
"Male","1880"
"","3786"
