"Population by Five Years Age Group","Number"
"0-4",""
"Female","926"
"Male","892"
"10-14",""
"Female","1232"
"Male","1161"
"15-19",""
"Female","1041"
"Male","958"
"20-24",""
"Female","834"
"Male","512"
"25-29",""
"Female","713"
"Male","404"
"30-34",""
"Female","521"
"Male","394"
"35-39",""
"Female","527"
"Male","411"
"40-44",""
"Female","400"
"Male","378"
"45-49",""
"Female","432"
"Male","403"
"50-54",""
"Female","405"
"Male","381"
"55-59",""
"Female","321"
"Male","313"
"5-9",""
"Female","1190"
"Male","1163"
"60-64",""
"Female","294"
"Male","265"
"65-69",""
"Female","183"
"Male","170"
"70-74",""
"Female","150"
"Male","145"
"75+",""
"Female","209"
"Male","193"
