"Population by Mother tongue","Number"
"Bantawa",""
"Female","26"
"Male","24"
"","50"
"Chamling",""
"Female","163"
"Male","162"
"","325"
"Gurung",""
"Female","93"
"Male","81"
"","174"
"Khaling",""
"Female","112"
"Male","94"
"","206"
"Limbu",""
"Female","694"
"Male","628"
"","1322"
"Lohorung",""
"Female","6"
"Male","6"
"","12"
"Magar",""
"Female","226"
"Male","194"
"","420"
"Maithili",""
"Female","12"
"Male","20"
"","32"
"Nachhiring",""
"Female","13"
"Male","13"
"","26"
"Nepali",""
"Female","4989"
"Male","4218"
"","9207"
"Newar",""
"Female","568"
"Male","517"
"","1085"
"Not Reported",""
"Female","28"
"Male","35"
"","63"
"Others",""
"Female","25"
"Male","20"
"","45"
"Rai",""
"Female","105"
"Male","80"
"","185"
"Sampang",""
"Female","6"
"Male","5"
"","11"
"Sherpa",""
"Female","280"
"Male","250"
"","530"
"Tamang",""
"Female","1391"
"Male","1222"
"","2613"
"Yakkha",""
"Female","641"
"Male","574"
"","1215"
