"Population by Mother tongue","Number"
"Chamling",""
"Female","29"
"Male","33"
"Gurung",""
"Female","103"
"Male","87"
"Limbu",""
"Female","1138"
"Male","1081"
"Lohorung",""
"Female","169"
"Male","160"
"Magar",""
"Female","372"
"Male","329"
"Nepali",""
"Female","2371"
"Male","2131"
"Newar",""
"Female","69"
"Male","61"
"Not Reported",""
"Female","11"
"Male","12"
"Others",""
"Female","36"
"Male","47"
"Rai",""
"Female","339"
"Male","298"
"Tamang",""
"Female","761"
"Male","735"
"Thulung",""
"Female","34"
"Male","30"
"Yamphu/Yamphe",""
"Female","31"
"Male","25"
