"Population by Single Year of Age","Number"
"0",""
"Female","66"
"Male","63"
"1",""
"Female","73"
"Male","65"
"10",""
"Female","75"
"Male","92"
"11",""
"Female","74"
"Male","75"
"12",""
"Female","87"
"Male","91"
"13",""
"Female","76"
"Male","81"
"14",""
"Female","79"
"Male","79"
"15",""
"Female","114"
"Male","91"
"16",""
"Female","95"
"Male","78"
"17",""
"Female","111"
"Male","94"
"18",""
"Female","121"
"Male","107"
"19",""
"Female","87"
"Male","76"
"2",""
"Female","88"
"Male","87"
"20",""
"Female","89"
"Male","83"
"21",""
"Female","82"
"Male","79"
"22",""
"Female","94"
"Male","88"
"23",""
"Female","75"
"Male","85"
"24",""
"Female","107"
"Male","102"
"25",""
"Female","122"
"Male","105"
"26",""
"Female","79"
"Male","96"
"27",""
"Female","110"
"Male","119"
"28",""
"Female","93"
"Male","140"
"29",""
"Female","70"
"Male","70"
"3",""
"Female","60"
"Male","70"
"30",""
"Female","94"
"Male","130"
"31",""
"Female","55"
"Male","69"
"32",""
"Female","69"
"Male","84"
"33",""
"Female","58"
"Male","67"
"34",""
"Female","52"
"Male","61"
"35",""
"Female","100"
"Male","115"
"36",""
"Female","51"
"Male","89"
"37",""
"Female","59"
"Male","64"
"38",""
"Female","52"
"Male","71"
"39",""
"Female","44"
"Male","63"
"4",""
"Female","63"
"Male","73"
"40",""
"Female","104"
"Male","107"
"41",""
"Female","38"
"Male","48"
"42",""
"Female","57"
"Male","62"
"43",""
"Female","39"
"Male","49"
"44",""
"Female","28"
"Male","30"
"45",""
"Female","91"
"Male","78"
"46",""
"Female","40"
"Male","36"
"47",""
"Female","37"
"Male","44"
"48",""
"Female","45"
"Male","55"
"49",""
"Female","30"
"Male","32"
"5",""
"Female","84"
"Male","83"
"50",""
"Female","84"
"Male","65"
"51",""
"Female","26"
"Male","34"
"52",""
"Female","42"
"Male","42"
"53",""
"Female","21"
"Male","16"
"54",""
"Female","25"
"Male","26"
"55",""
"Female","51"
"Male","45"
"56",""
"Female","35"
"Male","29"
"57",""
"Female","21"
"Male","21"
"58",""
"Female","27"
"Male","23"
"59",""
"Female","16"
"Male","17"
"6",""
"Female","73"
"Male","63"
"60",""
"Female","60"
"Male","26"
"61",""
"Female","18"
"Male","13"
"62",""
"Female","20"
"Male","23"
"63",""
"Female","18"
"Male","14"
"64",""
"Female","22"
"Male","19"
"65",""
"Female","40"
"Male","35"
"66",""
"Female","16"
"Male","13"
"67",""
"Female","19"
"Male","13"
"68",""
"Female","17"
"Male","16"
"69",""
"Female","11"
"Male","11"
"7",""
"Female","75"
"Male","78"
"70",""
"Female","37"
"Male","25"
"71",""
"Female","18"
"Male","12"
"72",""
"Female","18"
"Male","20"
"73",""
"Female","12"
"Male","11"
"74",""
"Female","10"
"Male","7"
"75",""
"Female","21"
"Male","23"
"76",""
"Female","12"
"Male","10"
"77",""
"Female","8"
"Male","5"
"78",""
"Female","11"
"Male","10"
"79",""
"Female","9"
"Male","8"
"8",""
"Female","77"
"Male","85"
"80",""
"Female","19"
"Male","10"
"81",""
"Female","4"
"Male","3"
"82",""
"Female","10"
"Male","6"
"83",""
"Female","7"
"Male","2"
"84",""
"Female","3"
"Male","1"
"85",""
"Female","25"
"Male","18"
"9",""
"Female","73"
"Male","81"
