"Population by disability type","Number"
"Blind/low vision",""
"Female","14"
"Male","12"
"","26"
"Deaf/hard of hearing",""
"Female","25"
"Male","28"
"","53"
"Deaf-Blind",""
"Female","5"
"Male","7"
"","12"
"Intellectual disable",""
"Female","3"
"Male","0"
"","3"
"Mental disable",""
"Female","7"
"Male","4"
"","11"
"Multiple disable",""
"Female","9"
"Male","8"
"","17"
"No disability",""
"Female","4381"
"Male","4375"
"","8756"
"Physical",""
"Female","27"
"Male","39"
"","66"
"Speech problem",""
"Female","25"
"Male","20"
"","45"
