"Population by Five Years Age Group","Number"
"0-4",""
"Female","647"
"Male","666"
"10-14",""
"Female","891"
"Male","892"
"15-19",""
"Female","843"
"Male","846"
"20-24",""
"Female","606"
"Male","450"
"25-29",""
"Female","484"
"Male","366"
"30-34",""
"Female","357"
"Male","308"
"35-39",""
"Female","388"
"Male","324"
"40-44",""
"Female","383"
"Male","336"
"45-49",""
"Female","326"
"Male","311"
"50-54",""
"Female","324"
"Male","333"
"55-59",""
"Female","260"
"Male","255"
"5-9",""
"Female","857"
"Male","825"
"60-64",""
"Female","197"
"Male","220"
"65-69",""
"Female","140"
"Male","206"
"70-74",""
"Female","97"
"Male","93"
"75+",""
"Female","85"
"Male","104"
