"Population by Caste/Ethinicity","Number"
"Bangali",""
"Female","4"
"Male","10"
"Brahman - Hill",""
"Female","139"
"Male","200"
"Chamar/ Harijan/ Ram",""
"Female","12"
"Male","7"
"Chhetri",""
"Female","761"
"Male","746"
"Damai/Dholi",""
"Female","100"
"Male","85"
"Gharti/Bhujel",""
"Female","127"
"Male","124"
"Gurung",""
"Female","86"
"Male","72"
"Kami",""
"Female","789"
"Male","686"
"Limbu",""
"Female","10"
"Male","13"
"Magar",""
"Female","1572"
"Male","1237"
"Newar",""
"Female","747"
"Male","748"
"Others",""
"Female","38"
"Male","68"
"Pattharkatta/ Kushwadiya",""
"Female","15"
"Male","11"
"Rai",""
"Female","700"
"Male","618"
"Sherpa",""
"Female","3428"
"Male","2953"
"Sunuwar",""
"Female","53"
"Male","49"
"Tamang",""
"Female","2164"
"Male","1949"
"Terai Others",""
"Female","7"
"Male","6"
"Tharu",""
"Female","1"
"Male","14"
"Undefined Others",""
"Female","17"
"Male","12"
"Yadav",""
"Female","2"
"Male","19"
