"Population by disability type","Number"
"Blind/low vision",""
"Female","33"
"Male","35"
"","68"
"Deaf/hard of hearing",""
"Female","17"
"Male","28"
"","45"
"Deaf-Blind",""
"Female","2"
"Male","3"
"","5"
"Intellectual disable",""
"Female","5"
"Male","4"
"","9"
"Mental disable",""
"Female","10"
"Male","3"
"","13"
"Multiple disable",""
"Female","17"
"Male","8"
"","25"
"No disability",""
"Female","10615"
"Male","9450"
"","20065"
"Physical",""
"Female","55"
"Male","78"
"","133"
"Speech problem",""
"Female","18"
"Male","18"
"","36"
