"Population by Five Years Age Group","Number"
"0-4",""
"Female","2515"
"Male","2602"
"10-14",""
"Female","2939"
"Male","2923"
"15-19",""
"Female","1850"
"Male","2053"
"20-24",""
"Female","1621"
"Male","1276"
"25-29",""
"Female","1740"
"Male","1240"
"30-34",""
"Female","1516"
"Male","1115"
"35-39",""
"Female","1324"
"Male","1229"
"40-44",""
"Female","936"
"Male","1049"
"45-49",""
"Female","784"
"Male","772"
"50-54",""
"Female","577"
"Male","639"
"55-59",""
"Female","536"
"Male","556"
"5-9",""
"Female","3206"
"Male","3260"
"60-64",""
"Female","476"
"Male","517"
"65-69",""
"Female","272"
"Male","321"
"70-74",""
"Female","200"
"Male","193"
"75+",""
"Female","191"
"Male","208"
