"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","34"
"Male","33"
"Hindi",""
"Female","18"
"Male","20"
"Limbu",""
"Female","8"
"Male","3"
"Magahi",""
"Female","201"
"Male","186"
"Maithili",""
"Female","11299"
"Male","11188"
"Nepali",""
"Female","447"
"Male","412"
"Newar",""
"Female","14"
"Male","7"
"Not Reported",""
"Female","57"
"Male","60"
"Others",""
"Female","29"
"Male","28"
"Rajsthani",""
"Female","18"
"Male","19"
"Sherpa",""
"Female","9"
"Male","14"
"Sunuwar",""
"Female","23"
"Male","24"
"Uranw/Urau",""
"Female","1991"
"Male","1763"
"Urdu",""
"Female","6499"
"Male","6087"
"Yakkha",""
"Female","8"
"Male","10"
