"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","34"
"Male","33"
"","67"
"Hindi",""
"Female","18"
"Male","20"
"","38"
"Limbu",""
"Female","8"
"Male","3"
"","11"
"Magahi",""
"Female","201"
"Male","186"
"","387"
"Maithili",""
"Female","11299"
"Male","11188"
"","22487"
"Nepali",""
"Female","447"
"Male","412"
"","859"
"Newar",""
"Female","14"
"Male","7"
"","21"
"Not Reported",""
"Female","57"
"Male","60"
"","117"
"Others",""
"Female","29"
"Male","28"
"","57"
"Rajsthani",""
"Female","18"
"Male","19"
"","37"
"Sherpa",""
"Female","9"
"Male","14"
"","23"
"Sunuwar",""
"Female","23"
"Male","24"
"","47"
"Uranw/Urau",""
"Female","1991"
"Male","1763"
"","3754"
"Urdu",""
"Female","6499"
"Male","6087"
"","12586"
"Yakkha",""
"Female","8"
"Male","10"
"","18"
