"Population by Mother tongue","Number"
"Avadhi",""
"Female","6"
"Male","6"
"","12"
"Bangla",""
"Female","20"
"Male","15"
"","35"
"Bhojpuri",""
"Female","101"
"Male","88"
"","189"
"Gurung",""
"Female","74"
"Male","77"
"","151"
"Maithili",""
"Female","13985"
"Male","14758"
"","28743"
"Nepali",""
"Female","219"
"Male","210"
"","429"
"Newar",""
"Female","19"
"Male","16"
"","35"
"Not Reported",""
"Female","20"
"Male","27"
"","47"
"Others",""
"Female","31"
"Male","22"
"","53"
"Santhali",""
"Female","23"
"Male","26"
"","49"
"Tamang",""
"Female","11"
"Male","6"
"","17"
"Tharu",""
"Female","294"
"Male","269"
"","563"
"Uranw/Urau",""
"Female","450"
"Male","469"
"","919"
"Urdu",""
"Female","1957"
"Male","1874"
"","3831"
