"Population by Mother tongue","Number"
"Bantawa",""
"Female","10"
"Male","12"
"Bhojpuri",""
"Female","157"
"Male","159"
"Gurung",""
"Female","5"
"Male","10"
"Limbu",""
"Female","10"
"Male","8"
"Magahi",""
"Female","191"
"Male","173"
"Magar",""
"Female","6"
"Male","8"
"Maithili",""
"Female","7945"
"Male","7679"
"Nepali",""
"Female","734"
"Male","659"
"Newar",""
"Female","9"
"Male","6"
"Not Reported",""
"Female","25"
"Male","26"
"Others",""
"Female","34"
"Male","28"
"Rai",""
"Female","54"
"Male","49"
"Sunuwar",""
"Female","8"
"Male","7"
"Tamang",""
"Female","13"
"Male","13"
"Tharu",""
"Female","5296"
"Male","4968"
"Uranw/Urau",""
"Female","2215"
"Male","2004"
"Urdu",""
"Female","1209"
"Male","1122"
