"Population by Five Years Age Group","Number"
"0-4",""
"Female","2859"
"Male","2993"
"10-14",""
"Female","4305"
"Male","4393"
"15-19",""
"Female","3550"
"Male","3759"
"20-24",""
"Female","2937"
"Male","2516"
"25-29",""
"Female","2739"
"Male","2273"
"30-34",""
"Female","2454"
"Male","1997"
"35-39",""
"Female","2301"
"Male","2011"
"40-44",""
"Female","1814"
"Male","1868"
"45-49",""
"Female","1502"
"Male","1589"
"50-54",""
"Female","1249"
"Male","1420"
"55-59",""
"Female","961"
"Male","1067"
"5-9",""
"Female","3649"
"Male","3717"
"60-64",""
"Female","906"
"Male","917"
"65-69",""
"Female","597"
"Male","593"
"70-74",""
"Female","421"
"Male","440"
"75+",""
"Female","524"
"Male","428"
