"Population by Five Years Age Group","Number"
"0-4",""
"Female","33417"
"Male","34635"
"10-14",""
"Female","46753"
"Male","49031"
"15-19",""
"Female","42154"
"Male","42343"
"20-24",""
"Female","39326"
"Male","31365"
"25-29",""
"Female","36488"
"Male","28309"
"30-34",""
"Female","30530"
"Male","24406"
"35-39",""
"Female","26957"
"Male","23798"
"40-44",""
"Female","21586"
"Male","20777"
"45-49",""
"Female","17524"
"Male","17289"
"50-54",""
"Female","14584"
"Male","15051"
"55-59",""
"Female","11608"
"Male","11897"
"5-9",""
"Female","42173"
"Male","44369"
"60-64",""
"Female","10622"
"Male","10282"
"65-69",""
"Female","7281"
"Male","7244"
"70-74",""
"Female","5148"
"Male","4990"
"75+",""
"Female","6107"
"Male","5443"
