"Population by Mother tongue","Number"
"Bhujel",""
"Female","5"
"Male","6"
"Gurung",""
"Female","379"
"Male","325"
"Limbu",""
"Female","2675"
"Male","2382"
"Magar",""
"Female","230"
"Male","220"
"Maithili",""
"Female","6"
"Male","6"
"Nepali",""
"Female","2528"
"Male","2191"
"Newar",""
"Female","112"
"Male","95"
"Not Reported",""
"Female","13"
"Male","21"
"Others",""
"Female","16"
"Male","12"
"Rai",""
"Female","41"
"Male","25"
"Sherpa",""
"Female","653"
"Male","531"
"Sign Language",""
"Female","8"
"Male","4"
"Sunuwar",""
"Female","7"
"Male","7"
"Tamang",""
"Female","697"
"Male","589"
