"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","771"
"Male","666"
"","1437"
"Chhetri",""
"Female","325"
"Male","298"
"","623"
"Dalit Others",""
"Female","21"
"Male","10"
"","31"
"Damai/Dholi",""
"Female","180"
"Male","140"
"","320"
"Gharti/Bhujel",""
"Female","29"
"Male","31"
"","60"
"Gurung",""
"Female","632"
"Male","540"
"","1172"
"Kami",""
"Female","477"
"Male","414"
"","891"
"Khawas",""
"Female","6"
"Male","7"
"","13"
"Limbu",""
"Female","2739"
"Male","2430"
"","5169"
"Magar",""
"Female","304"
"Male","284"
"","588"
"Newar",""
"Female","296"
"Male","262"
"","558"
"Others",""
"Female","14"
"Male","13"
"","27"
"Rai",""
"Female","91"
"Male","72"
"","163"
"Sanyasi/Dasnami",""
"Female","15"
"Male","19"
"","34"
"Sarki",""
"Female","77"
"Male","62"
"","139"
"Sherpa",""
"Female","653"
"Male","533"
"","1186"
"Sunuwar",""
"Female","16"
"Male","12"
"","28"
"Tamang",""
"Female","721"
"Male","613"
"","1334"
"Undefined Others",""
"Female","3"
"Male","8"
"","11"
