"Population by Five Years Age Group","Number"
"0-4",""
"Female","626"
"Male","611"
"10-14",""
"Female","759"
"Male","807"
"15-19",""
"Female","719"
"Male","676"
"20-24",""
"Female","508"
"Male","383"
"25-29",""
"Female","417"
"Male","240"
"30-34",""
"Female","303"
"Male","241"
"35-39",""
"Female","280"
"Male","217"
"40-44",""
"Female","304"
"Male","264"
"45-49",""
"Female","262"
"Male","230"
"50-54",""
"Female","270"
"Male","231"
"55-59",""
"Female","172"
"Male","175"
"5-9",""
"Female","750"
"Male","713"
"60-64",""
"Female","171"
"Male","133"
"65-69",""
"Female","109"
"Male","101"
"70-74",""
"Female","78"
"Male","93"
"75+",""
"Female","115"
"Male","136"
