"Population by Caste/Ethinicity","Number"
"Bhote",""
"Female","178"
"Male","164"
"Brahman - Hill",""
"Female","69"
"Male","71"
"Chhetri",""
"Female","61"
"Male","59"
"Damai/Dholi",""
"Female","65"
"Male","47"
"Kami",""
"Female","316"
"Male","271"
"Limbu",""
"Female","3796"
"Male","3310"
"Magar",""
"Female","21"
"Male","18"
"Newar",""
"Female","25"
"Male","19"
"Others",""
"Female","12"
"Male","18"
"Rai",""
"Female","17"
"Male","10"
"Sanyasi/Dasnami",""
"Female","93"
"Male","73"
"Sherpa",""
"Female","1975"
"Male","1629"
"Tamang",""
"Female","111"
"Male","120"
