"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","8"
"Male","7"
"Brahman - Hill",""
"Female","57"
"Male","72"
"Chhetri",""
"Female","269"
"Male","254"
"Damai/Dholi",""
"Female","20"
"Male","14"
"Gharti/Bhujel",""
"Female","19"
"Male","19"
"Gurung",""
"Female","132"
"Male","125"
"Kami",""
"Female","94"
"Male","98"
"Limbu",""
"Female","3924"
"Male","3702"
"Magar",""
"Female","1"
"Male","12"
"Newar",""
"Female","30"
"Male","26"
"Others",""
"Female","6"
"Male","18"
"Rai",""
"Female","304"
"Male","291"
"Sherpa",""
"Female","541"
"Male","514"
"Sunuwar",""
"Female","40"
"Male","33"
"Tamang",""
"Female","240"
"Male","226"
"Undefined Others",""
"Female","6"
"Male","6"
"Walung",""
"Female","446"
"Male","463"
