"Population by Single Year of Age","Number"
"0",""
"Female","113"
"Male","108"
"1",""
"Female","121"
"Male","115"
"10",""
"Female","156"
"Male","145"
"11",""
"Female","165"
"Male","156"
"12",""
"Female","182"
"Male","177"
"13",""
"Female","155"
"Male","169"
"14",""
"Female","165"
"Male","155"
"15",""
"Female","165"
"Male","174"
"16",""
"Female","170"
"Male","164"
"17",""
"Female","185"
"Male","169"
"18",""
"Female","161"
"Male","157"
"19",""
"Female","117"
"Male","99"
"2",""
"Female","100"
"Male","136"
"20",""
"Female","133"
"Male","98"
"21",""
"Female","110"
"Male","87"
"22",""
"Female","128"
"Male","83"
"23",""
"Female","113"
"Male","74"
"24",""
"Female","83"
"Male","63"
"25",""
"Female","92"
"Male","68"
"26",""
"Female","80"
"Male","53"
"27",""
"Female","107"
"Male","65"
"28",""
"Female","85"
"Male","48"
"29",""
"Female","87"
"Male","63"
"3",""
"Female","143"
"Male","116"
"30",""
"Female","93"
"Male","67"
"31",""
"Female","68"
"Male","51"
"32",""
"Female","58"
"Male","39"
"33",""
"Female","58"
"Male","51"
"34",""
"Female","76"
"Male","55"
"35",""
"Female","87"
"Male","71"
"36",""
"Female","43"
"Male","44"
"37",""
"Female","65"
"Male","46"
"38",""
"Female","66"
"Male","53"
"39",""
"Female","51"
"Male","53"
"4",""
"Female","153"
"Male","144"
"40",""
"Female","94"
"Male","69"
"41",""
"Female","69"
"Male","54"
"42",""
"Female","69"
"Male","61"
"43",""
"Female","71"
"Male","43"
"44",""
"Female","40"
"Male","58"
"45",""
"Female","74"
"Male","64"
"46",""
"Female","53"
"Male","53"
"47",""
"Female","59"
"Male","69"
"48",""
"Female","46"
"Male","46"
"49",""
"Female","57"
"Male","59"
"5",""
"Female","150"
"Male","149"
"50",""
"Female","62"
"Male","91"
"51",""
"Female","53"
"Male","33"
"52",""
"Female","65"
"Male","65"
"53",""
"Female","43"
"Male","41"
"54",""
"Female","41"
"Male","46"
"55",""
"Female","42"
"Male","47"
"56",""
"Female","39"
"Male","40"
"57",""
"Female","31"
"Male","43"
"58",""
"Female","33"
"Male","33"
"59",""
"Female","37"
"Male","34"
"6",""
"Female","161"
"Male","135"
"60",""
"Female","61"
"Male","50"
"61",""
"Female","28"
"Male","26"
"62",""
"Female","32"
"Male","32"
"63",""
"Female","31"
"Male","26"
"64",""
"Female","19"
"Male","28"
"65",""
"Female","22"
"Male","28"
"66",""
"Female","7"
"Male","22"
"67",""
"Female","26"
"Male","37"
"68",""
"Female","25"
"Male","27"
"69",""
"Female","18"
"Male","16"
"7",""
"Female","186"
"Male","185"
"70",""
"Female","23"
"Male","26"
"71",""
"Female","13"
"Male","24"
"72",""
"Female","26"
"Male","27"
"73",""
"Female","17"
"Male","18"
"74",""
"Female","14"
"Male","13"
"75",""
"Female","15"
"Male","10"
"76",""
"Female","7"
"Male","15"
"77",""
"Female","24"
"Male","16"
"78",""
"Female","12"
"Male","16"
"79",""
"Female","6"
"Male","7"
"8",""
"Female","147"
"Male","136"
"80",""
"Female","8"
"Male","8"
"81",""
"Female","5"
"Male","7"
"82",""
"Female","5"
"Male","12"
"83",""
"Female","8"
"Male","11"
"84",""
"Female","5"
"Male","3"
"85",""
"Female","19"
"Male","33"
"9",""
"Female","190"
"Male","169"
