"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","364"
"Male","332"
"","696"
"Chhetri",""
"Female","1564"
"Male","1495"
"","3059"
"Damai/Dholi",""
"Female","105"
"Male","86"
"","191"
"Gurung",""
"Female","191"
"Male","223"
"","414"
"Kami",""
"Female","310"
"Male","258"
"","568"
"Limbu",""
"Female","1954"
"Male","1718"
"","3672"
"Magar",""
"Female","53"
"Male","60"
"","113"
"Newar",""
"Female","135"
"Male","107"
"","242"
"Others",""
"Female","12"
"Male","13"
"","25"
"Rai",""
"Female","1141"
"Male","1010"
"","2151"
"Sanyasi/Dasnami",""
"Female","7"
"Male","5"
"","12"
"Sarki",""
"Female","57"
"Male","68"
"","125"
"Sherpa",""
"Female","6"
"Male","5"
"","11"
"Sunuwar",""
"Female","9"
"Male","6"
"","15"
"Tamang",""
"Female","277"
"Male","270"
"","547"
"Undefined Others",""
"Female","11"
"Male","7"
"","18"
"Yakkha",""
"Female","126"
"Male","114"
"","240"
