"Population by Five Years Age Group","Number"
"0-4",""
"Female","6419"
"Male","6475"
"10-14",""
"Female","8822"
"Male","8676"
"15-19",""
"Female","8072"
"Male","7690"
"20-24",""
"Female","6104"
"Male","4426"
"25-29",""
"Female","4943"
"Male","3355"
"30-34",""
"Female","3926"
"Male","2945"
"35-39",""
"Female","3647"
"Male","2795"
"40-44",""
"Female","3513"
"Male","3027"
"45-49",""
"Female","3032"
"Male","2783"
"50-54",""
"Female","2648"
"Male","2792"
"55-59",""
"Female","2019"
"Male","2027"
"5-9",""
"Female","8317"
"Male","8091"
"60-64",""
"Female","1908"
"Male","1818"
"65-69",""
"Female","1222"
"Male","1171"
"70-74",""
"Female","960"
"Male","1057"
"75+",""
"Female","1357"
"Male","1424"
