"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","621"
"Male","533"
"","1154"
"Brahman - Tarai",""
"Female","15"
"Male","13"
"","28"
"Chhetri",""
"Female","2151"
"Male","1836"
"","3987"
"Damai/Dholi",""
"Female","254"
"Male","212"
"","466"
"Gharti/Bhujel",""
"Female","181"
"Male","158"
"","339"
"Gurung",""
"Female","137"
"Male","109"
"","246"
"Kami",""
"Female","430"
"Male","362"
"","792"
"Limbu",""
"Female","3739"
"Male","3143"
"","6882"
"Magar",""
"Female","244"
"Male","229"
"","473"
"Newar",""
"Female","290"
"Male","273"
"","563"
"Others",""
"Female","18"
"Male","16"
"","34"
"Rai",""
"Female","14"
"Male","17"
"","31"
"Sarki",""
"Female","296"
"Male","246"
"","542"
"Sherpa",""
"Female","119"
"Male","108"
"","227"
"Sunuwar",""
"Female","31"
"Male","21"
"","52"
"Tamang",""
"Female","356"
"Male","277"
"","633"
"Thakuri",""
"Female","116"
"Male","112"
"","228"
"Undefined Others",""
"Female","18"
"Male","9"
"","27"
"Yadav",""
"Female","6"
"Male","5"
"","11"
