"Population by Mother tongue","Number"
"Bhujel",""
"Female","27"
"Male","30"
"","57"
"Doteli",""
"Female","13"
"Male","4"
"","17"
"Gurung",""
"Female","44"
"Male","47"
"","91"
"Limbu",""
"Female","3675"
"Male","3095"
"","6770"
"Magar",""
"Female","219"
"Male","213"
"","432"
"Nepali",""
"Female","4496"
"Male","3818"
"","8314"
"Newar",""
"Female","20"
"Male","24"
"","44"
"Not Reported",""
"Female","28"
"Male","26"
"","54"
"Others",""
"Female","17"
"Male","17"
"","34"
"Rai",""
"Female","11"
"Male","12"
"","23"
"Sherpa",""
"Female","117"
"Male","108"
"","225"
"Sunuwar",""
"Female","21"
"Male","16"
"","37"
"Tamang",""
"Female","348"
"Male","269"
"","617"
