"Population by Five Years Age Group","Number"
"0-4",""
"Female","790"
"Male","810"
"10-14",""
"Female","1178"
"Male","1110"
"15-19",""
"Female","1084"
"Male","1007"
"20-24",""
"Female","823"
"Male","531"
"25-29",""
"Female","738"
"Male","398"
"30-34",""
"Female","586"
"Male","348"
"35-39",""
"Female","578"
"Male","353"
"40-44",""
"Female","503"
"Male","357"
"45-49",""
"Female","475"
"Male","422"
"50-54",""
"Female","398"
"Male","372"
"55-59",""
"Female","309"
"Male","281"
"5-9",""
"Female","987"
"Male","1040"
"60-64",""
"Female","239"
"Male","237"
"65-69",""
"Female","198"
"Male","180"
"70-74",""
"Female","143"
"Male","144"
"75+",""
"Female","200"
"Male","181"
