"Population by Mother tongue","Number"
"Gurung",""
"Female","401"
"Male","333"
"","734"
"Hindi",""
"Female","11"
"Male","14"
"","25"
"Limbu",""
"Female","2756"
"Male","2282"
"","5038"
"Magar",""
"Female","542"
"Male","496"
"","1038"
"Maithili",""
"Female","22"
"Male","36"
"","58"
"Nepali",""
"Female","4785"
"Male","3926"
"","8711"
"Newar",""
"Female","125"
"Male","119"
"","244"
"Not Reported",""
"Female","19"
"Male","23"
"","42"
"Others",""
"Female","19"
"Male","24"
"","43"
"Rai",""
"Female","259"
"Male","250"
"","509"
"Sherpa",""
"Female","55"
"Male","59"
"","114"
"Tamang",""
"Female","176"
"Male","148"
"","324"
"Yakkha",""
"Female","36"
"Male","18"
"","54"
