"Population by disability type","Number"
"Blind/low vision",""
"Female","36"
"Male","27"
"","63"
"Deaf/hard of hearing",""
"Female","25"
"Male","25"
"","50"
"Deaf-Blind",""
"Female","1"
"Male","3"
"","4"
"Intellectual disable",""
"Female","1"
"Male","1"
"","2"
"Mental disable",""
"Female","9"
"Male","9"
"","18"
"Multiple disable",""
"Female","8"
"Male","8"
"","16"
"No disability",""
"Female","4245"
"Male","3519"
"","7764"
"Physical",""
"Female","59"
"Male","71"
"","130"
"Speech problem",""
"Female","11"
"Male","20"
"","31"
