"Population by Educational Attainment","Number"
"Beginners",""
"Female","764"
"Male","906"
"Graduate and Equivalent",""
"Female","240"
"Male","651"
"Intermediate and Equivalent",""
"Female","1012"
"Male","1378"
"Level not Stated",""
"Female","84"
"Male","92"
"Lower Secondary (Class 6-8)",""
"Female","8275"
"Male","7546"
"Non Formal Education",""
"Female","1787"
"Male","1797"
"Others",""
"Female","20"
"Male","30"
"Post Graduate Equivalent and Above",""
"Female","30"
"Male","211"
"Primary Education (1-5 Class)",""
"Female","12004"
"Male","12655"
"Secondary Level (Class 9-10)",""
"Female","4542"
"Male","4782"
"SLC and Equivalent",""
"Female","5149"
"Male","5331"
