"Industries Types","Number"
"Accommodation and food","330"
"Administrative and support service activity","7"
"Agriculture, forestry and fishing","256"
"Art, entertainment and recreation","32"
"Construction","29"
"Education","272"
"Electricty gas and water","11"
"Financial intermediation and insurance","124"
"Health and social work","117"
"Information and communications","9"
"Manufacturing","530"
"Mining and quarrying","11"
"Other service activities","184"
"Professional,scientific and techniqual activity","24"
"Real state, renting and business activities","0"
"Transport and storage","28"
"Water supply, wet management","18"
"Wholesale and retail trade","1430"
"Total","3412"
