"Population by Single Year of Age","Number"
"0",""
"Female","348"
"Male","378"
"1",""
"Female","336"
"Male","373"
"10",""
"Female","604"
"Male","644"
"11",""
"Female","527"
"Male","553"
"12",""
"Female","679"
"Male","691"
"13",""
"Female","603"
"Male","574"
"14",""
"Female","646"
"Male","606"
"15",""
"Female","603"
"Male","572"
"16",""
"Female","609"
"Male","548"
"17",""
"Female","560"
"Male","482"
"18",""
"Female","598"
"Male","516"
"19",""
"Female","391"
"Male","318"
"2",""
"Female","365"
"Male","402"
"20",""
"Female","434"
"Male","304"
"21",""
"Female","397"
"Male","243"
"22",""
"Female","506"
"Male","313"
"23",""
"Female","372"
"Male","228"
"24",""
"Female","391"
"Male","196"
"25",""
"Female","494"
"Male","270"
"26",""
"Female","417"
"Male","220"
"27",""
"Female","354"
"Male","207"
"28",""
"Female","387"
"Male","235"
"29",""
"Female","199"
"Male","143"
"3",""
"Female","423"
"Male","397"
"30",""
"Female","479"
"Male","296"
"31",""
"Female","214"
"Male","144"
"32",""
"Female","302"
"Male","199"
"33",""
"Female","214"
"Male","129"
"34",""
"Female","193"
"Male","123"
"35",""
"Female","459"
"Male","335"
"36",""
"Female","240"
"Male","181"
"37",""
"Female","207"
"Male","142"
"38",""
"Female","221"
"Male","184"
"39",""
"Female","194"
"Male","151"
"4",""
"Female","441"
"Male","480"
"40",""
"Female","449"
"Male","354"
"41",""
"Female","150"
"Male","142"
"42",""
"Female","260"
"Male","212"
"43",""
"Female","198"
"Male","140"
"44",""
"Female","163"
"Male","143"
"45",""
"Female","328"
"Male","287"
"46",""
"Female","150"
"Male","136"
"47",""
"Female","151"
"Male","147"
"48",""
"Female","189"
"Male","171"
"49",""
"Female","151"
"Male","130"
"5",""
"Female","535"
"Male","522"
"50",""
"Female","336"
"Male","297"
"51",""
"Female","130"
"Male","125"
"52",""
"Female","161"
"Male","182"
"53",""
"Female","121"
"Male","116"
"54",""
"Female","134"
"Male","110"
"55",""
"Female","218"
"Male","193"
"56",""
"Female","137"
"Male","140"
"57",""
"Female","106"
"Male","117"
"58",""
"Female","138"
"Male","143"
"59",""
"Female","105"
"Male","99"
"6",""
"Female","505"
"Male","516"
"60",""
"Female","275"
"Male","235"
"61",""
"Female","108"
"Male","94"
"62",""
"Female","96"
"Male","99"
"63",""
"Female","75"
"Male","90"
"64",""
"Female","96"
"Male","89"
"65",""
"Female","181"
"Male","142"
"66",""
"Female","74"
"Male","56"
"67",""
"Female","105"
"Male","109"
"68",""
"Female","80"
"Male","99"
"69",""
"Female","41"
"Male","47"
"7",""
"Female","535"
"Male","583"
"70",""
"Female","148"
"Male","121"
"71",""
"Female","52"
"Male","40"
"72",""
"Female","45"
"Male","60"
"73",""
"Female","55"
"Male","35"
"74",""
"Female","40"
"Male","35"
"75",""
"Female","80"
"Male","78"
"76",""
"Female","35"
"Male","43"
"77",""
"Female","41"
"Male","45"
"78",""
"Female","68"
"Male","54"
"79",""
"Female","15"
"Male","17"
"8",""
"Female","578"
"Male","589"
"80",""
"Female","59"
"Male","49"
"81",""
"Female","10"
"Male","20"
"82",""
"Female","21"
"Male","19"
"83",""
"Female","15"
"Male","15"
"84",""
"Female","19"
"Male","24"
"85",""
"Female","94"
"Male","64"
"9",""
"Female","521"
"Male","516"
