"Population by Mother tongue","Number"
"Bantawa",""
"Female","14"
"Male","21"
"","35"
"Chamling",""
"Female","2784"
"Male","2463"
"","5247"
"Magar",""
"Female","797"
"Male","692"
"","1489"
"Majhi",""
"Female","59"
"Male","48"
"","107"
"Nepali",""
"Female","2342"
"Male","2138"
"","4480"
"Newar",""
"Female","7"
"Male","9"
"","16"
"Not Reported",""
"Female","11"
"Male","7"
"","18"
"Others",""
"Female","7"
"Male","23"
"","30"
"Rai",""
"Female","40"
"Male","38"
"","78"
"Sherpa",""
"Female","30"
"Male","14"
"","44"
"Sunuwar",""
"Female","5"
"Male","7"
"","12"
"Tamang",""
"Female","209"
"Male","183"
"","392"
"Tilung",""
"Female","11"
"Male","9"
"","20"
"Wambule",""
"Female","14"
"Male","10"
"","24"
