"Population by Five Years Age Group","Number"
"0-4",""
"Female","1660"
"Male","1744"
"10-14",""
"Female","2387"
"Male","2427"
"15-19",""
"Female","1974"
"Male","1631"
"20-24",""
"Female","1391"
"Male","875"
"25-29",""
"Female","1214"
"Male","771"
"30-34",""
"Female","935"
"Male","640"
"35-39",""
"Female","904"
"Male","743"
"40-44",""
"Female","889"
"Male","746"
"45-49",""
"Female","692"
"Male","697"
"50-54",""
"Female","538"
"Male","575"
"55-59",""
"Female","440"
"Male","431"
"5-9",""
"Female","2051"
"Male","2096"
"60-64",""
"Female","414"
"Male","420"
"65-69",""
"Female","281"
"Male","277"
"70-74",""
"Female","195"
"Male","210"
"75+",""
"Female","267"
"Male","265"
