"Industries Employment","Number"
"Accommodation,  food",""
"Female","1197"
"Male","933"
"Administrative, support service",""
"Female","15"
"Male","123"
"Agriculture, forestry and  fishing",""
"Female","365"
"Male","850"
"Arts, entertainment, recreation",""
"Female","9"
"Male","31"
"Construction",""
"Female","73"
"Male","632"
"Education",""
"Female","2635"
"Male","3155"
"Electricity, gas and water",""
"Female","7"
"Male","60"
"Financial intermediation and insurance",""
"Female","315"
"Male","530"
"Health, social work",""
"Female","442"
"Male","560"
"Information and communication",""
"Female","50"
"Male","101"
"Manufacturing",""
"Female","1034"
"Male","2478"
"Other service activities",""
"Female","515"
"Male","1007"
"Professional, scientific, techniqual activity",""
"Female","31"
"Male","195"
"Real estate, renting and business activity",""
"Female","0"
"Male","1"
"Transportation,  storage",""
"Female","32"
"Male","129"
"Water supply, wet management",""
"Female","10"
"Male","79"
"Wholesale, retail trade",""
"Female","4877"
"Male","5302"
