"Industries Types","Number"
"Accommodation and food","1042"
"Administrative and support service activity","45"
"Agriculture, forestry and fishing","608"
"Art, entertainment and recreation","16"
"Construction","107"
"Education","593"
"Electricty gas and water","24"
"Financial intermediation and insurance","231"
"Health and social work","384"
"Information and communications","28"
"Manufacturing","1372"
"Mining and quarrying","5"
"Other service activities","919"
"Professional,scientific and techniqual activity","147"
"Real state, renting and business activities","1"
"Transport and storage","35"
"Water supply, wet management","38"
"Wholesale and retail trade","5920"
"Total","11515"
