"Population by disability type","Number"
"Blind/low vision",""
"Female","509"
"Male","478"
"","987"
"Deaf/hard of hearing",""
"Female","604"
"Male","727"
"","1331"
"Deaf-Blind",""
"Female","58"
"Male","60"
"","118"
"Intellectual disable",""
"Female","221"
"Male","270"
"","491"
"Mental disable",""
"Female","182"
"Male","174"
"","356"
"Multiple disable",""
"Female","386"
"Male","466"
"","852"
"No disability",""
"Female","164097"
"Male","143599"
"","307696"
"Physical",""
"Female","1055"
"Male","1378"
"","2433"
"Speech problem",""
"Female","556"
"Male","609"
"","1165"
