"Population by Rural/Urban","Number"
"Metropolitan City Population",""
"Female","106674"
"Male","111852"
"Total","218526"
"Municipality Population",""
"Female","1140931"
"Male","1029063"
"Total","2169994"
"Number of Metropolitan City","1"
"Number of Municipality","46"
"Number of Rural Municipality","88"
"Number of Sub-Metropolitan City","2"
"Rural Municipality Population",""
"Female","972665"
"Male","888533"
"Total","1861198"
"Sub-Metropolitan City Population",""
"Female","148137"
"Male","137088"
"Total","285225"
